City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
150,Viedma,AR,55.89,light rain,-40.8135,-62.9967,Hotel Cristal
151,Buala,SB,81.41,light rain,-8.145,159.5921,Maringe Lagoon Lodge
152,Zatoka,UA,41.54,overcast clouds,46.0725,30.4654,"База отдыха ""Солнечная"""
153,Khatanga,RU,0.64,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
154,Dutse,NG,68.4,broken clouds,11.7594,9.3392,Central Mosque Galamawa
156,Labuhan,ID,78.87,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
157,Svobodnyy,RU,12.81,overcast clouds,51.4,128.1333,Alekseevskij Hotel
158,Terre-De-Bas,GP,82.81,clear sky,15.8501,-61.6442,Hôtel Bois Joli
159,Madaoua,NE,69.69,overcast clouds,14.073,5.96,
160,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
161,Merauke,ID,78.46,overcast clouds,-8.4667,140.3333,
162,Yellowknife,CA,6.42,light snow,62.456,-114.3525,The Explorer Hotel
163,Kaeo,NZ,67.32,overcast clouds,-35.1,173.7833,Bushido Lodge
165,Vestmannaeyjar,IS,40.86,overcast clouds,63.4427,-20.2734,Glamping & Camping
166,Bambous Virieux,MU,78.22,few clouds,-20.3428,57.7575,Casa Tia Villa
167,Perez,AR,92.62,clear sky,-32.9983,-60.7679,Camping Sindicato De Television
168,Kununurra,AU,75.18,moderate rain,-15.7667,128.7333,Hotel Kununurra
169,Port Alfred,ZA,69.12,light rain,-33.5906,26.891,The Halyards Hotel
170,Baoding,CN,38.05,overcast clouds,38.8511,115.4903,Xiu Lan Hotel
171,Bredasdorp,ZA,64.27,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
172,Bandarbeyla,SO,76.35,scattered clouds,9.4942,50.8122,JABIR HOTEL
173,Mahebourg,MU,78.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
174,Vostok,RU,11.62,scattered clouds,46.4856,135.8833,
175,Muros,ES,51.24,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
176,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
177,Eureka,US,55.13,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
178,Hamilton,US,42.08,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
179,Hammerfest,NO,19.85,clear sky,70.6634,23.6821,Skytterhuset
180,Teknaf,BD,73.35,clear sky,20.8624,92.3058,Forestry Guesthouse
181,Yueyang,CN,54.25,overcast clouds,29.3333,113.0919,Delong Fortune Hotel
182,Aklavik,CA,15.8,light snow,68.2191,-135.0107,Aklavik Inn
183,Nishihara,JP,65.48,few clouds,26.1842,127.7558,Minshuku Agaihama
184,Kavieng,PG,80.4,moderate rain,-2.5744,150.7967,Nusa Island Retreat
185,Poum,NC,81.63,clear sky,-20.2333,164.0167,Gîte kajeon
186,Port Moresby,PG,74.62,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
187,Rute,ES,50.38,scattered clouds,37.3269,-4.3683,El Mirador de Rute
188,Ust-Kulom,RU,13.6,light snow,61.6864,53.6902,Ip Napalkov Vasiliy Dmitriyevich
189,Kruisfontein,ZA,62.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
190,Marzuq,YE,58.78,clear sky,14.4,46.4667,
191,Haifa,IL,59.22,broken clouds,32.8156,34.9892,Dan Panorama Haifa Hotel
192,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
193,Kijang,KR,44.33,broken clouds,35.2442,129.2139,Samyang Beach Villa
194,Carupano,VE,80.37,scattered clouds,10.6678,-63.2585,Hotel La dorada
196,Sangin,AF,46.13,clear sky,32.0728,64.8359,
197,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
198,Huilong,CN,56.03,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
200,Praia Da Vitoria,PT,59.25,broken clouds,38.7333,-27.0667,Hotel Branco I
201,Kenora,CA,10.38,overcast clouds,49.8167,-94.4337,Maynard Lake Lodge
202,Pandan,PH,77.76,overcast clouds,14.0453,124.1694,Bonifacio Lodge
203,Flinders,AU,63.21,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
204,Benjamin Constant,BR,91.53,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
205,Manjakandriana,MG,60.49,clear sky,-18.9167,47.8,Ampahikely Manjakandriana
206,Itoman,JP,66.22,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
207,Pflugerville,US,80.11,clear sky,30.4394,-97.62,Comfort Suites Pflugerville - Austin North
208,Makabe,JP,47.59,overcast clouds,36.2667,140.1,見晴らしの丘 真壁 うり坊
209,Birnin Kebbi,NG,73.92,scattered clouds,12.4539,4.1975,Saffar Guest Inn Ltd
210,Corrales,US,58.66,broken clouds,35.2378,-106.6067,Quality Inn
