City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Ternate,ID,2021-12-04 00:19:53,0.8,127.4,80.83,78,100,11.3
111,Lhokseumawe,ID,2021-12-04 00:19:53,5.1801,97.1507,74.7,90,100,4.83
112,Rawson,AR,2021-12-04 00:19:53,-43.3002,-65.1023,61.54,42,1,22.86
113,Cabo San Lucas,MX,2021-12-04 00:17:43,22.8909,-109.9124,82.71,69,1,1.01
114,Kaura Namoda,NG,2021-12-04 00:19:54,12.5898,6.5779,70.92,23,52,8.23
115,Kenai,US,2021-12-04 00:17:04,60.5544,-151.2583,7.14,89,1,3.44
116,Luba,GQ,2021-12-04 00:19:54,3.4568,8.5547,81.12,83,100,4.61
117,Trairi,BR,2021-12-04 00:14:59,-3.2778,-39.2689,80.73,79,65,9.71
118,Puerto El Triunfo,SV,2021-12-04 00:19:55,13.2833,-88.55,78.96,65,100,1.74
119,Fereydun Kenar,IR,2021-12-04 00:19:55,36.6864,52.5225,50.29,81,6,6.06
120,Pushkino,RU,2021-12-04 00:19:56,56.0172,37.8667,31.41,86,100,11.63
121,Saskylakh,RU,2021-12-04 00:12:09,71.9167,114.0833,-18.58,97,100,13.02
122,Coquimbo,CL,2021-12-04 00:19:56,-29.9533,-71.3436,60.53,82,20,9.22
123,Cape Town,ZA,2021-12-04 00:19:43,-33.9258,18.4232,63.09,69,0,3.0
124,Griffith,US,2021-12-04 00:19:56,41.5284,-87.4237,44.42,77,1,3.44
125,Barela,IN,2021-12-04 00:19:57,23.1,80.05,57.78,58,73,4.07
126,West Wendover,US,2021-12-04 00:19:57,40.7391,-114.0733,43.81,53,1,0.0
127,Mufumbwe,ZM,2021-12-04 00:19:57,-13.6833,24.8,69.6,64,44,5.03
128,Puerto Ayora,EC,2021-12-04 00:12:04,-0.7393,-90.3518,68.09,89,59,7.25
129,Pangnirtung,CA,2021-12-04 00:19:58,66.1451,-65.7125,11.86,73,100,7.27
130,Souillac,MU,2021-12-04 00:14:39,-20.5167,57.5167,77.36,76,16,9.62
131,Quang Ngai,VN,2021-12-04 00:19:58,15.1167,108.8,66.31,79,86,7.72
132,Tuatapere,NZ,2021-12-04 00:19:59,-46.1333,167.6833,58.95,98,100,4.7
